invoice_no,wholesaler_id,age,gender,Product,quantity,price,payment_method,invoice_date,shopping_mall
I174250,C204553,42,Female,Modified milk,5,75.75,Cash,16/12/2022,Metrocity
I195396,C285161,51,Male,Evaporated milk,2,71.68,Debit Card,16/05/2021,Istinye Park
I196704,C289625,25,Female,chocolate milk,5,203.3,Credit Card,20/04/2022,Mall of Istanbul
I217053,C192344,50,Male,Pasteurized milk 3.0% mg,4,2400.68,Cash,10/10/2022,Emaar Square Mall
I655874,C447138,65,Female,Pasteurized milk 2.5% mg,3,1800.51,Cash,23/08/2022,Cevahir AVM
I209744,C251229,29,Male,Skimmed pasteurized milk,3,121.98,Credit Card,29/04/2021,Istinye Park
I161949,C159164,66,Female,Sterilized whole milk,3,107.52,Debit Card,04/07/2022,Mall of Istanbul
I331891,C501658,23,Male,Sterilized semi-skimmed milk,1,300.08,Credit Card,21/11/2021,Emaar Square Mall
I768348,C176727,32,Female,Sterilized skimmed milk,3,1800.51,Credit Card,23/02/2022,Kanyon
I109053,C232624,51,Male,Flavored sterilized milk,4,1200.32,Debit Card,11/07/2021,Metrocity
I167211,C164092,66,Female,Powdered milk 28% mg,4,2400.68,Credit Card,30/08/2022,Zorlu Center
I339732,C276887,68,Male,Powdered milk 26% mg,1,5.23,Credit Card,04/01/2023,Emaar Square Mall
I147062,C245456,43,Male,Powdered milk 18% mg,5,1500.4,Credit Card,21/06/2022,Kanyon
I187519,C450287,59,Female,Powdered milk 20% mg,2,600.16,Credit Card,08/07/2022,Metrocity
I106674,C204279,54,Male,Powdered milk 12% mg,2,600.16,Cash,27/02/2022,Kanyon
I473411,C452806,24,Male,Skimmed powdered milk,1,300.08,Cash,19/12/2022,Metropol AVM
I246550,C716788,49,Female,Total powdered milk,3,15.69,Cash,10/09/2021,Zorlu Center
I138674,C155059,67,Male,Yogurt,2,81.32,Credit Card,14/02/2022,Metropol AVM
I752693,C306662,48,Female,Cultured milk,3,121.98,Cash,28/04/2022,Metrocity
I826174,C607615,40,Female,Small cheese,4,2400.68,Cash,20/06/2022,Metrocity
I296025,C120164,41,Female,Cheese,3,1800.51,Credit Card,21/04/2022,Kanyon
I117291,C134449,46,Male,Cream,5,75.75,Credit Card,09/12/2022,Zorlu Center
I267193,C317818,19,Female,Butter,3,121.98,Credit Card,12/01/2023,Mall of Istanbul
I205366,C241642,43,Female,Powdered whey,4,1200.32,Debit Card,07/11/2022,Zorlu Center
I269690,C126436,18,Male,Condensed milk,3,121.98,Debit Card,07/02/2022,Zorlu Center
I304265,C653385,22,Female,Sweetened condensed milk,5,75.75,Debit Card,13/06/2021,Forum Istanbul
I246562,C227070,61,Female,Modified milk,5,203.3,Cash,23/08/2021,Emaar Square Mall
I202367,C317478,41,Female,Evaporated milk,3,45.45,Cash,24/02/2023,Istinye Park
I664787,C237330,53,Female,chocolate milk,2,81.32,Credit Card,12/01/2023,Istinye Park
I160777,C626042,43,Female,Pasteurized milk 3.0% mg,4,4200,Cash,22/02/2022,Metrocity
I137794,C133687,45,Female,Pasteurized milk 2.5% mg,3,15.69,Debit Card,12/03/2021,Viaport Outlet
I148377,C841663,29,Female,Skimmed pasteurized milk,1,300.08,Cash,02/01/2022,Istinye Park
I258195,C213742,43,Male,Sterilized whole milk,2,71.68,Cash,26/11/2021,Kanyon
I300213,C962515,19,Female,Sterilized semi-skimmed milk,4,1200.32,Credit Card,21/04/2021,Kanyon
I263803,C112279,67,Female,Sterilized skimmed milk,3,15.69,Cash,23/06/2021,Kanyon
I335713,C158837,36,Female,Flavored sterilized milk,4,60.6,Cash,14/12/2021,Kanyon
I133061,C336576,64,Male,Powdered milk 28% mg,5,1500.4,Credit Card,09/06/2022,Mall of Istanbul
I207205,C716161,33,Female,Powdered milk 26% mg,1,300.08,Debit Card,26/11/2021,Kanyon
I209289,C439382,33,Female,Powdered milk 18% mg,4,1200.32,Credit Card,05/02/2021,Kanyon
I157285,C123427,66,Male,Powdered milk 20% mg,4,1200.32,Cash,06/03/2022,Mall of Istanbul
I218590,C224743,29,Female,Powdered milk 12% mg,4,162.64,Debit Card,09/05/2022,Metropol AVM
I181109,C119549,22,Male,Skimmed powdered milk,3,107.52,Cash,17/10/2022,Mall of Istanbul
I221715,C187266,63,Female,Total powdered milk,3,15.69,Cash,22/01/2022,Cevahir AVM
I204979,C173084,24,Female,Yogurt,5,58.65,Debit Card,14/03/2021,Istinye Park
I115146,C126956,24,Female,Cultured milk,5,203.3,Cash,27/04/2022,Metrocity
I883721,C236859,44,Female,Small cheese,5,5250,Credit Card,19/11/2021,Mall of Istanbul
I402376,C309926,34,Male,Cheese,5,3000.85,Cash,10/09/2022,Forum Istanbul
I251356,C493252,47,Female,Cream,4,162.64,Cash,04/09/2021,Kanyon
I292239,C109871,38,Male,Butter,5,26.15,Cash,21/08/2022,Mall of Istanbul
I276526,C136117,57,Female,Powdered whey,5,3000.85,Debit Card,02/10/2021,Emaar Square Mall
I260525,C258404,67,Male,Condensed milk,3,107.52,Cash,07/01/2023,Emaar Square Mall
I870944,C169749,41,Male,Sweetened condensed milk,3,35.19,Credit Card,08/06/2021,Cevahir AVM
I739573,C199947,40,Female,Modified milk,5,1500.4,Debit Card,17/04/2021,Kanyon
I115870,C135790,69,Female,Evaporated milk,4,2400.68,Cash,04/09/2021,Metrocity
I190444,C606418,47,Female,chocolate milk,5,26.15,Cash,20/07/2022,Mall of Istanbul
I309552,C111611,53,Female,Pasteurized milk 3.0% mg,4,20.92,Credit Card,14/07/2021,Istinye Park
I306076,C679476,40,Male,Pasteurized milk 2.5% mg,2,71.68,Cash,01/11/2022,Emaar Square Mall
I321683,C542025,60,Male,Skimmed pasteurized milk,4,162.64,Credit Card,06/01/2023,Metrocity
I151332,C168491,30,Male,Sterilized whole milk,2,23.46,Cash,25/03/2021,Kanyon
I340014,C169650,66,Female,Sterilized semi-skimmed milk,2,600.16,Credit Card,08/09/2022,Istinye Park
I249424,C158160,22,Male,Sterilized skimmed milk,1,5.23,Cash,18/02/2022,Mall of Istanbul
I227716,C552345,53,Male,Flavored sterilized milk,2,10.46,Cash,22/04/2021,Kanyon
I140663,C218383,52,Female,Powdered milk 28% mg,5,1500.4,Cash,15/10/2022,Zorlu Center
I253242,C309438,26,Male,Powdered milk 26% mg,5,3000.85,Cash,07/04/2022,Mall of Istanbul
I108359,C253905,66,Male,Powdered milk 18% mg,1,5.23,Cash,07/06/2022,Mall of Istanbul
I195567,C992677,65,Male,Powdered milk 20% mg,4,1200.32,Debit Card,22/01/2023,Metropol AVM
I289643,C584700,43,Female,Powdered milk 12% mg,2,2100,Cash,22/08/2022,Kanyon
I722319,C157070,59,Female,Skimmed powdered milk,1,35.84,Debit Card,03/10/2021,Kanyon
I317105,C177975,30,Female,Total powdered milk,5,58.65,Debit Card,29/07/2021,Kanyon
I215721,C830576,25,Female,Yogurt,2,81.32,Debit Card,16/12/2022,Metrocity
I154469,C807389,29,Female,Cultured milk,3,107.52,Debit Card,03/06/2021,Mall of Istanbul
I172458,C277842,19,Female,Small cheese,2,600.16,Debit Card,17/12/2021,Cevahir AVM
I297270,C183011,62,Male,Cheese,5,1500.4,Credit Card,31/12/2022,Metropol AVM
I153930,C567813,39,Male,Cream,3,15.69,Cash,09/08/2022,Forum Istanbul
I282854,C282974,33,Female,Butter,3,900.24,Cash,31/07/2022,Kanyon
I869144,C181972,26,Female,Powdered whey,4,20.92,Debit Card,04/05/2021,Mall of Istanbul
I283443,C189493,43,Male,Condensed milk,3,3150,Credit Card,25/05/2022,Viaport Outlet
I193271,C242748,40,Female,Sweetened condensed milk,3,15.69,Debit Card,23/12/2022,Kanyon
I985478,C324683,55,Male,Modified milk,4,1200.32,Credit Card,24/01/2023,Kanyon
I200392,C307921,24,Female,Evaporated milk,5,1500.4,Credit Card,14/09/2021,Viaport Outlet
I256691,C152549,24,Male,chocolate milk,1,40.66,Cash,04/02/2022,Metrocity
I796162,C111832,30,Female,Pasteurized milk 3.0% mg,5,26.15,Credit Card,06/01/2022,Metrocity
I224371,C204174,34,Male,Pasteurized milk 2.5% mg,5,1500.4,Credit Card,01/02/2022,Mall of Istanbul
I215998,C279370,64,Female,Skimmed pasteurized milk,5,1500.4,Cash,26/10/2022,Cevahir AVM
I338966,C907582,57,Female,Sterilized whole milk,5,1500.4,Cash,21/09/2022,Mall of Istanbul
I293215,C166635,18,Male,Sterilized semi-skimmed milk,4,162.64,Credit Card,12/12/2021,Istinye Park
I149688,C276043,26,Female,Sterilized skimmed milk,4,1200.32,Cash,21/08/2021,Zorlu Center
I109649,C282643,19,Female,Flavored sterilized milk,3,15.69,Debit Card,08/10/2021,Emaar Square Mall
I299820,C820515,22,Female,Powdered milk 28% mg,3,45.45,Cash,22/11/2021,Kanyon
I157775,C331761,48,Male,Powdered milk 26% mg,1,300.08,Cash,19/03/2022,Kanyon
I317140,C326893,56,Female,Powdered milk 18% mg,5,58.65,Cash,19/10/2022,Istinye Park
I147334,C306395,35,Male,Powdered milk 20% mg,2,600.16,Cash,12/01/2022,Viaport Outlet
I278121,C885344,60,Female,Powdered milk 12% mg,4,143.36,Debit Card,07/06/2021,Metrocity
I134452,C112750,32,Female,Skimmed powdered milk,1,300.08,Credit Card,15/01/2023,Forum Istanbul
I320846,C274870,27,Male,Total powdered milk,4,1200.32,Credit Card,11/11/2021,Kanyon
I740676,C199864,56,Female,Yogurt,2,600.16,Credit Card,21/09/2022,Istinye Park
I142331,C997380,35,Male,Cultured milk,4,162.64,Debit Card,30/05/2021,Metrocity
I222983,C132002,68,Female,Small cheese,1,300.08,Credit Card,23/12/2021,Metropol AVM
I164665,C255058,64,Female,Cheese,2,2100,Cash,30/04/2022,Kanyon
I133387,C271799,60,Female,Cream,4,143.36,Cash,07/06/2021,Forum Istanbul
I276763,C765620,64,Male,Butter,5,179.2,Debit Card,21/02/2022,Kanyon
I273890,C891545,41,Female,Powdered whey,3,900.24,Debit Card,26/08/2021,Emaar Square Mall
I774221,C519513,30,Male,Condensed milk,5,26.15,Cash,15/12/2021,Metrocity
I202171,C125624,40,Male,Sweetened condensed milk,1,300.08,Debit Card,20/02/2021,Mall of Istanbul
I219780,C658980,29,Female,Modified milk,2,600.16,Cash,08/10/2021,Kanyon
I160221,C319231,25,Male,Evaporated milk,3,900.24,Cash,01/08/2022,Mall of Istanbul
I106691,C150594,60,Female,chocolate milk,4,1200.32,Cash,09/09/2021,Kanyon
I129886,C846730,42,Female,Pasteurized milk 3.0% mg,5,26.15,Cash,25/10/2021,Metrocity
I745394,C249877,54,Male,Pasteurized milk 2.5% mg,1,5.23,Cash,14/12/2021,Metropol AVM
I157056,C200826,50,Female,Skimmed pasteurized milk,5,1500.4,Cash,20/06/2021,Kanyon
I304531,C263874,54,Male,Sterilized whole milk,1,300.08,Debit Card,07/04/2021,Metropol AVM
I762439,C663463,45,Female,Sterilized semi-skimmed milk,4,60.6,Cash,05/12/2021,Metrocity
I300972,C134370,40,Female,Sterilized skimmed milk,1,40.66,Credit Card,25/05/2021,Zorlu Center
I151588,C310642,24,Male,Flavored sterilized milk,3,45.45,Credit Card,12/04/2022,Metrocity
I657069,C651699,40,Male,Powdered milk 28% mg,4,1200.32,Cash,16/12/2021,Mall of Istanbul
I122655,C989693,32,Female,Powdered milk 26% mg,2,2100,Credit Card,21/02/2021,Metropol AVM
I236914,C123581,28,Female,Powdered milk 18% mg,3,900.24,Cash,26/10/2021,Mall of Istanbul
I247471,C192446,22,Female,Powdered milk 20% mg,1,35.84,Cash,18/12/2022,Mall of Istanbul
I362306,C143343,21,Female,Powdered milk 12% mg,1,300.08,Credit Card,19/09/2022,Metrocity
I215279,C223343,31,Female,Skimmed powdered milk,2,600.16,Credit Card,01/02/2023,Kanyon
I216061,C309082,61,Female,Total powdered milk,3,15.69,Credit Card,05/10/2022,Mall of Istanbul
I246375,C236365,67,Female,Yogurt,2,81.32,Cash,28/11/2021,Kanyon
I103596,C178734,52,Male,Cultured milk,5,3000.85,Cash,03/08/2021,Kanyon
I259878,C223010,44,Male,Small cheese,4,1200.32,Credit Card,12/10/2022,Metropol AVM
I206422,C289933,48,Female,Cheese,2,10.46,Credit Card,28/09/2022,Kanyon
I201704,C340116,53,Female,Cream,3,15.69,Cash,12/07/2021,Metrocity
I168037,C816586,27,Male,Butter,4,143.36,Cash,03/07/2021,Mall of Istanbul
I307534,C434171,28,Female,Powdered whey,4,162.64,Cash,26/03/2022,Viaport Outlet
I259196,C215384,43,Female,Condensed milk,4,143.36,Credit Card,17/05/2022,Cevahir AVM
I141241,C143442,54,Male,Sweetened condensed milk,5,58.65,Credit Card,11/04/2022,Kanyon
I289973,C102926,41,Male,Modified milk,5,26.15,Credit Card,22/10/2021,Kanyon
I147203,C340063,59,Female,Evaporated milk,5,203.3,Cash,20/12/2021,Istinye Park
I323788,C131786,32,Female,chocolate milk,1,300.08,Credit Card,17/03/2022,Metropol AVM
I285454,C194380,41,Female,Pasteurized milk 3.0% mg,5,58.65,Credit Card,23/06/2022,Metropol AVM
I288152,C269623,30,Female,Pasteurized milk 2.5% mg,3,3150,Debit Card,19/06/2021,Mall of Istanbul
I134126,C847171,22,Male,Skimmed pasteurized milk,1,300.08,Debit Card,30/08/2022,Istinye Park
I311052,C556552,51,Female,Sterilized whole milk,4,1200.32,Cash,20/11/2021,Cevahir AVM
I176469,C876528,23,Female,Sterilized semi-skimmed milk,2,10.46,Credit Card,31/07/2021,Viaport Outlet
I167993,C303493,40,Male,Sterilized skimmed milk,2,71.68,Cash,20/02/2022,Kanyon
I222086,C978718,37,Male,Flavored sterilized milk,5,1500.4,Cash,09/02/2023,Emaar Square Mall
I164597,C111766,24,Female,Powdered milk 28% mg,1,300.08,Cash,24/03/2021,Mall of Istanbul
I184307,C175946,22,Male,Powdered milk 26% mg,1,5.23,Credit Card,25/08/2022,Kanyon
I289905,C160005,61,Female,Powdered milk 18% mg,4,162.64,Cash,21/10/2021,Kanyon
I416544,C599109,25,Female,Powdered milk 20% mg,2,10.46,Credit Card,28/05/2022,Metrocity
I601026,C693789,66,Female,Powdered milk 12% mg,5,58.65,Credit Card,05/03/2022,Zorlu Center
I257890,C259342,59,Female,Skimmed powdered milk,1,600.17,Cash,05/10/2021,Kanyon
I260028,C208108,38,Male,Total powdered milk,4,1200.32,Cash,16/04/2021,Metropol AVM
I170160,C244213,34,Male,Yogurt,2,71.68,Debit Card,26/02/2023,Metrocity
I624164,C102685,26,Female,Cultured milk,1,300.08,Cash,20/03/2021,Kanyon
I143353,C244291,59,Female,Small cheese,5,58.65,Cash,15/05/2022,Metrocity
I278401,C162371,53,Female,Cheese,1,35.84,Debit Card,31/01/2023,Mall of Istanbul
I402966,C375422,23,Male,Cream,4,162.64,Debit Card,02/10/2021,Viaport Outlet
I244241,C911768,23,Female,Butter,5,1500.4,Credit Card,03/08/2022,Viaport Outlet
I179048,C270129,66,Female,Powdered whey,3,3150,Debit Card,28/03/2021,Cevahir AVM
I165202,C617189,56,Female,Condensed milk,4,162.64,Cash,21/11/2022,Mall of Istanbul
I328321,C271029,38,Female,Sweetened condensed milk,2,23.46,Credit Card,12/02/2021,Metropol AVM
I417106,C292356,28,Male,Modified milk,3,900.24,Cash,03/04/2021,Cevahir AVM
I248153,C329633,44,Female,Evaporated milk,1,5.23,Cash,03/07/2022,Metropol AVM
I112270,C244780,26,Female,chocolate milk,4,20.92,Cash,14/02/2021,Mall of Istanbul
I318831,C139568,41,Female,Pasteurized milk 3.0% mg,4,162.64,Credit Card,15/07/2022,Viaport Outlet
I258322,C220281,50,Male,Pasteurized milk 2.5% mg,4,1200.32,Cash,12/07/2021,Viaport Outlet
I334246,C311034,23,Female,Skimmed pasteurized milk,3,121.98,Cash,19/05/2022,Mall of Istanbul
I198233,C584141,31,Female,Sterilized whole milk,4,162.64,Cash,13/02/2023,Metropol AVM
I310819,C221934,26,Male,Sterilized semi-skimmed milk,5,203.3,Credit Card,27/11/2022,Forum Istanbul
I409288,C513561,56,Female,Sterilized skimmed milk,3,15.69,Cash,02/03/2021,Viaport Outlet
I131054,C257990,34,Female,Flavored sterilized milk,4,143.36,Cash,16/10/2021,Kanyon
I149521,C168348,29,Female,Powdered milk 28% mg,2,600.16,Cash,04/11/2021,Kanyon
I156233,C161285,20,Female,Powdered milk 26% mg,1,300.08,Credit Card,11/01/2023,Mall of Istanbul
I295784,C166191,54,Female,Powdered milk 18% mg,3,121.98,Credit Card,08/06/2022,Forum Istanbul
I255381,C172966,40,Male,Powdered milk 20% mg,4,1200.32,Debit Card,24/05/2021,Metrocity
I337719,C320928,40,Male,Powdered milk 12% mg,5,203.3,Cash,18/01/2021,Istinye Park
I220863,C131497,21,Male,Skimmed powdered milk,4,60.6,Cash,22/07/2021,Mall of Istanbul
I530401,C526660,32,Female,Total powdered milk,2,2100,Cash,25/09/2022,Zorlu Center
I219555,C266961,47,Male,Yogurt,3,900.24,Credit Card,10/09/2021,Metrocity
I316629,C204741,41,Female,Cultured milk,3,35.19,Cash,16/01/2022,Cevahir AVM
I795251,C181619,33,Male,Small cheese,5,203.3,Cash,13/11/2022,Kanyon
I151099,C250395,67,Female,Cheese,2,23.46,Credit Card,14/03/2021,Mall of Istanbul
I286193,C322994,37,Male,Cream,3,121.98,Cash,23/07/2022,Istinye Park
I399563,C250673,38,Female,Butter,1,35.84,Cash,24/06/2021,Metropol AVM
I229355,C192978,28,Male,Powdered whey,5,3000.85,Credit Card,30/01/2021,Kanyon
I147727,C163033,38,Female,Condensed milk,1,15.15,Credit Card,17/04/2022,Kanyon
I504141,C558480,56,Female,Sweetened condensed milk,1,40.66,Credit Card,23/02/2023,Kanyon
I246151,C287409,25,Male,Modified milk,3,45.45,Debit Card,05/07/2021,Metropol AVM
I164675,C993675,66,Male,Evaporated milk,5,75.75,Cash,31/08/2021,Kanyon
I606511,C307535,37,Female,chocolate milk,2,23.46,Credit Card,09/09/2022,Viaport Outlet
I342816,C238961,19,Female,Pasteurized milk 3.0% mg,2,10.46,Cash,04/11/2021,Mall of Istanbul
I151764,C671866,53,Female,Pasteurized milk 2.5% mg,5,1500.4,Cash,30/06/2022,Kanyon
I226172,C171154,69,Female,Skimmed pasteurized milk,1,600.17,Cash,24/07/2021,Kanyon
I737630,C848969,69,Male,Sterilized whole milk,5,1500.4,Cash,15/04/2022,Metropol AVM
I891311,C240171,31,Female,Sterilized semi-skimmed milk,2,10.46,Debit Card,25/09/2021,Metropol AVM
I127733,C665777,39,Male,Sterilized skimmed milk,5,75.75,Cash,24/08/2021,Kanyon
I202398,C256730,53,Male,Flavored sterilized milk,5,3000.85,Cash,26/01/2021,Zorlu Center
I160585,C298229,26,Male,Powdered milk 28% mg,2,81.32,Cash,05/02/2022,Metropol AVM
I771414,C183404,63,Male,Powdered milk 26% mg,3,15.69,Cash,09/12/2022,Forum Istanbul
I139520,C316398,34,Female,Powdered milk 18% mg,5,1500.4,Cash,14/02/2021,Mall of Istanbul
I291540,C557245,25,Male,Powdered milk 20% mg,1,5.23,Debit Card,17/07/2022,Kanyon
I798213,C662958,20,Female,Powdered milk 12% mg,3,1800.51,Cash,03/01/2021,Metropol AVM
I232338,C545065,18,Female,Skimmed powdered milk,4,1200.32,Debit Card,22/09/2022,Metropol AVM
I267713,C284679,53,Male,Total powdered milk,4,162.64,Credit Card,27/06/2021,Kanyon
I525798,C581947,46,Male,Yogurt,4,162.64,Cash,03/02/2023,Mall of Istanbul
I353272,C199311,34,Female,Cultured milk,1,300.08,Credit Card,29/07/2021,Istinye Park
I165687,C206501,61,Female,Small cheese,3,900.24,Cash,08/12/2022,Metropol AVM
I169015,C726021,38,Female,Cheese,5,1500.4,Credit Card,11/08/2022,Mall of Istanbul
I111305,C448846,67,Female,Cream,3,15.69,Cash,13/09/2021,Metropol AVM
I187171,C168663,33,Male,Butter,4,143.36,Credit Card,27/05/2022,Istinye Park
I148276,C616106,63,Female,Powdered whey,4,1200.32,Debit Card,07/12/2022,Zorlu Center
I783231,C771066,21,Female,Condensed milk,5,1500.4,Debit Card,05/01/2022,Cevahir AVM
I313426,C101196,41,Female,Sweetened condensed milk,4,162.64,Debit Card,05/04/2022,Kanyon
I112291,C898405,48,Female,Modified milk,1,5.23,Credit Card,10/01/2022,Cevahir AVM
I402983,C372643,27,Male,Evaporated milk,1,1050,Debit Card,30/01/2022,Kanyon
I155076,C195626,22,Female,chocolate milk,5,179.2,Credit Card,21/12/2022,Kanyon
I204056,C622748,54,Female,Pasteurized milk 3.0% mg,4,1200.32,Credit Card,24/02/2021,Metropol AVM
I218385,C290280,51,Female,Pasteurized milk 2.5% mg,1,35.84,Cash,19/07/2022,Metrocity
I198698,C281268,29,Female,Skimmed pasteurized milk,1,300.08,Debit Card,15/01/2023,Metropol AVM
I428118,C826744,44,Female,Sterilized whole milk,2,1200.34,Credit Card,12/01/2023,Kanyon
I204147,C252021,20,Female,Sterilized semi-skimmed milk,3,1800.51,Credit Card,05/11/2022,Kanyon
I361028,C647656,59,Female,Sterilized skimmed milk,2,1200.34,Cash,23/07/2021,Metrocity
I915945,C250065,23,Female,Flavored sterilized milk,4,1200.32,Credit Card,30/06/2022,Metropol AVM
I165461,C230766,25,Female,Powdered milk 28% mg,1,300.08,Credit Card,01/11/2022,Emaar Square Mall
I762381,C243515,63,Male,Powdered milk 26% mg,1,600.17,Cash,27/10/2022,Kanyon
I818298,C204632,21,Male,Powdered milk 18% mg,5,1500.4,Debit Card,21/08/2022,Kanyon
I261290,C252598,56,Female,Powdered milk 20% mg,3,900.24,Credit Card,13/03/2021,Cevahir AVM
I215578,C866033,39,Male,Powdered milk 12% mg,2,81.32,Credit Card,04/08/2022,Kanyon
I136666,C288416,50,Male,Skimmed powdered milk,2,10.46,Credit Card,01/04/2021,Mall of Istanbul
I120948,C340089,54,Female,Total powdered milk,4,2400.68,Debit Card,08/08/2021,Mall of Istanbul
I173679,C555040,27,Male,Yogurt,3,3150,Credit Card,28/06/2021,Viaport Outlet
I638275,C809281,56,Male,Cultured milk,5,1500.4,Credit Card,25/01/2021,Emaar Square Mall
I551237,C375325,53,Female,Small cheese,4,1200.32,Cash,22/11/2021,Metropol AVM
I239285,C155335,62,Female,Cheese,3,121.98,Credit Card,13/11/2022,Viaport Outlet
I723062,C225051,42,Female,Cream,4,1200.32,Credit Card,12/08/2022,Kanyon
I353329,C635016,68,Female,Butter,2,71.68,Credit Card,18/09/2022,Metrocity
I321920,C165705,27,Male,Powdered whey,4,1200.32,Cash,08/06/2021,Mall of Istanbul
I176115,C709571,39,Male,Condensed milk,4,162.64,Cash,30/08/2021,Viaport Outlet
I251743,C851508,44,Male,Sweetened condensed milk,3,107.52,Debit Card,19/06/2022,Kanyon
I964173,C184126,52,Female,Modified milk,3,900.24,Debit Card,15/12/2022,Emaar Square Mall
I334389,C233642,19,Female,Evaporated milk,2,81.32,Cash,29/12/2021,Mall of Istanbul
I251855,C258410,68,Female,chocolate milk,3,121.98,Credit Card,19/06/2022,Cevahir AVM
I985808,C270667,22,Male,Pasteurized milk 3.0% mg,5,75.75,Cash,16/06/2021,Emaar Square Mall
I224565,C321527,61,Male,Pasteurized milk 2.5% mg,1,600.17,Cash,07/02/2021,Emaar Square Mall
I239703,C109489,23,Male,Skimmed pasteurized milk,3,15.69,Credit Card,17/01/2023,Kanyon
I156413,C103824,34,Male,Sterilized whole milk,5,203.3,Debit Card,20/01/2022,Metrocity
I158683,C126571,33,Female,Sterilized semi-skimmed milk,2,23.46,Debit Card,31/07/2022,Metrocity
I983860,C169676,60,Female,Sterilized skimmed milk,1,600.17,Credit Card,30/09/2021,Metropol AVM
I119809,C321889,24,Female,Flavored sterilized milk,1,5.23,Debit Card,06/04/2022,Zorlu Center
I319942,C212128,53,Male,Powdered milk 28% mg,5,203.3,Debit Card,14/11/2022,Mall of Istanbul
I133278,C301271,22,Male,Powdered milk 26% mg,3,900.24,Credit Card,24/02/2021,Metrocity
I252084,C221995,50,Male,Powdered milk 18% mg,4,46.92,Cash,25/05/2021,Metrocity
I182889,C318802,49,Male,Powdered milk 20% mg,2,600.16,Credit Card,22/03/2021,Metrocity
I106271,C263812,31,Male,Powdered milk 12% mg,1,300.08,Debit Card,22/12/2022,Mall of Istanbul
I112481,C321609,29,Male,Skimmed powdered milk,5,26.15,Cash,07/07/2021,Cevahir AVM
I240751,C666013,52,Female,Total powdered milk,1,5.23,Credit Card,18/09/2021,Kanyon
I282789,C172185,67,Female,Yogurt,2,81.32,Cash,18/02/2022,Istinye Park
I676291,C150463,50,Female,Cultured milk,2,10.46,Cash,13/06/2021,Metropol AVM
I827069,C274529,58,Female,Small cheese,5,179.2,Cash,30/05/2021,Mall of Istanbul
I242823,C242659,50,Female,Cheese,4,1200.32,Debit Card,26/03/2021,Metropol AVM
I208631,C194451,68,Female,Cream,2,2100,Credit Card,27/07/2022,Kanyon
I139308,C252600,59,Female,Butter,2,23.46,Credit Card,06/04/2022,Emaar Square Mall
I177201,C309645,66,Female,Powdered whey,5,1500.4,Cash,04/02/2022,Forum Istanbul
I263818,C336232,69,Male,Condensed milk,4,46.92,Cash,26/06/2022,Zorlu Center
I174966,C325906,27,Male,Sweetened condensed milk,5,26.15,Cash,25/07/2022,Mall of Istanbul
I186896,C138755,52,Female,Modified milk,1,35.84,Credit Card,19/09/2021,Zorlu Center
